"SocioeconomicScore","StudyHours","SleepHours","Attendance","Grades"
0.0529016888018079,0.652173913043478,0.788461538461539,0.266666666666667,0.254237288135593
0.945829205027442,0.543478260869565,0.807692307692308,0.216666666666667,0.491525423728814
0.519899362107161,0.173913043478261,0.442307692307692,0.0166666666666667,0
0.797989468645285,0.315217391304348,0.211538461538462,0.3,0.0508474576271186
0.537655715987398,0.684782608695652,0.615384615384615,0.783333333333333,0.305084745762712
0.757211083527225,0.706521739130435,0.0576923076923077,0.283333333333333,0.322033898305085
0.984013715252652,0.369565217391304,0.442307692307692,0.283333333333333,0.389830508474576
0.0933906286528549,0.260869565217391,0.403846153846154,0.25,0.0169491525423729
0.269262025894219,0.782608695652174,0.307692307692308,0.333333333333333,0.355932203389831
0.726418560121122,0.706521739130435,0.923076923076923,0.35,0.372881355932203
0.944426508733454,0.793478260869565,0.711538461538462,0.733333333333333,0.644067796610169
0.0399545793580995,0.391304347826087,0.288461538461538,0.516666666666667,0.0169491525423729
0.0206619390606388,0.347826086956522,0.25,0.25,0.0508474576271186
0.284558095004843,0.326086956521739,0.615384615384615,0.416666666666667,0.0338983050847458
0.503423246907945,0.717391304347826,0.653846153846154,0.7,0.305084745762712
0.615249312567491,0.33695652173913,0.634615384615385,0.483333333333333,0.0508474576271186
0.675364868024091,0.217391304347826,0.807692307692308,0.183333333333333,0.0508474576271186
0.802809845592083,0.467391304347826,0.673076923076923,0.216666666666667,0.220338983050847
0.778663430817015,0.467391304347826,0.519230769230769,0.366666666666667,0.152542372881356
0.704454117358923,0.402173913043478,0.711538461538462,0.45,0.0508474576271186
0.580148507686998,0.260869565217391,0.269230769230769,0.116666666666667,0.0508474576271186
0.0816569628285482,0.33695652173913,0.75,0.0333333333333333,0.0338983050847458
0.722388591403475,0.173913043478261,0.576923076923077,0.0833333333333333,0.0338983050847458
0.500473131686464,0.304347826086957,0.615384615384615,0.266666666666667,0.0169491525423729
0.191401249067652,0.347826086956522,0.884615384615385,0.366666666666667,0.0508474576271186
0.827023055428769,0.673913043478261,0.673076923076923,0.416666666666667,0.389830508474576
0.166486691083973,0.304347826086957,0.769230769230769,0.216666666666667,0.0169491525423729
0.862201787881149,0.58695652173913,0.980769230769231,0.116666666666667,0.423728813559322
0.96005655315217,0.130434782608696,0.903846153846154,0.133333333333333,0.135593220338983
0.523573090496176,0.489130434782609,0.269230769230769,0.266666666666667,0.0847457627118644
0.875148897324858,0.369565217391304,0.923076923076923,0.316666666666667,0.203389830508475
0.49418326338406,0.293478260869565,0.923076923076923,0.216666666666667,0.0338983050847458
0.676311131397019,0.532608695652174,0.923076923076923,0.383333333333333,0.169491525423729
0.84501319202467,0.119565217391304,0.903846153846154,0.216666666666667,0
0.481113696327385,0.815217391304348,0.25,0.466666666666667,0.406779661016949
0.827312500695782,0.282608695652174,0.711538461538462,0.05,0.101694915254237
0.465806494706491,0.0326086956521739,0.769230769230769,0.0666666666666667,0.0338983050847458
0.125719438476182,0.434782608695652,0.711538461538462,0.2,0.0508474576271186
0.0913088492324134,0.282608695652174,0.730769230769231,0.266666666666667,0.0508474576271186
0.0158749596446503,0.260869565217391,0.653846153846154,0.233333333333333,0.0338983050847458
0.93257038529618,0.565217391304348,0.961538461538462,0.183333333333333,0.474576271186441
0.394703151613657,0.33695652173913,0.826923076923077,0.4,0.0169491525423729
0.579436027029735,0.826086956521739,0.192307692307692,0.416666666666667,0.406779661016949
0.107050218753827,0.75,0.519230769230769,0.15,0.322033898305085
0.515925055940864,0.33695652173913,0.0961538461538461,0.383333333333333,0.0508474576271186
0.202311109131998,0.33695652173913,0.730769230769231,0.25,0.0338983050847458
0.786779030803656,0.271739130434783,0.865384615384616,0.1,0.0338983050847458
0.765104033308471,0.304347826086957,0.730769230769231,0.366666666666667,0.0338983050847458
0.813107417591593,0.293478260869565,0.865384615384616,0.55,0.0338983050847458
0.895833101406036,0.315217391304348,0.865384615384616,0.516666666666667,0.135593220338983
0.724303383169871,0.706521739130435,0.269230769230769,0.65,0.305084745762712
0.406392287396885,0.5,0.769230769230769,0.45,0.11864406779661
0.122936310908747,0.423913043478261,0.596153846153846,0.45,0.0338983050847458
0.764792323020918,0.315217391304348,0.653846153846154,0.466666666666667,0.0338983050847458
