"LOAN","MORTDUE","VALUE","REASON","JOB.Mgr","JOB.Office","JOB.Other","JOB.ProfExe","JOB.Sales","JOB.Self","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","BAD"
0.182648401826484,0.187594230231525,0.143843867049711,0,1,0,0,0,0,0,0,0,0,0.124609617128179,0,0.241935483870968,0.164321910663083,0
0.25,0.236884522393215,0.249972726280956,0,0,0,0,1,0,0,0.583333333333334,0.111111111111111,0,0.245829472962525,0,0.370967741935484,0.282473575902282,0
0.0867579908675799,0.0585282814050515,0.125665933306666,1,0,0,0,1,0,0,0.555555555555555,0,0,0.37449903756273,0,0.145161290322581,0.162635161828405,0
0.146118721461187,0.151283724143224,0.125611385868577,1,0,0,0,1,0,0,0.138888888888889,0,0,0.163777565356723,0,0.17741935483871,0.1700689567229,0
0.0570776255707763,0.368072193378254,0.395782573911779,0,0,0,0,1,0,0,0.0277777777777777,0,0,0.0829940640258791,0.2,0.32258064516129,0.245597558943912,0
0.262557077625571,0.114320802197381,0.0697593548856322,0,0,1,0,0,0,0,0.499999999999999,0,0,0.286973991987782,0,0.32258064516129,0.202982377579059,0
0.156392694063927,0.166736111491839,0.122240808756682,0,0,1,0,0,0,0,0.138888888888889,0,0,0.173219118560497,0,0.290322580645161,0.137633141612955,0
0.0593607305936073,0.151086354640102,0.10144005236554,0,0,0,0,1,0,0,0.222222222222222,0,0,0.0831190467337257,0.2,0.354838709677419,0.262938679733699,0
0.110730593607306,0.0906090493917181,0.0837848649041784,0,0,1,0,0,0,0,0.638888888888889,0,0,0.359479667696183,0.1,0.435483870967742,0.171749472659202,0
0.186073059360731,0.218745716807658,0.190725117276992,0,0,0,0,1,0,0,0.25,0,0,0.218722519626783,0.3,0.258064516129032,0.266829595818392,0
0.0639269406392694,0.170357293625513,0.0985172188079564,1,0,0,1,0,0,0,0.111111111111111,0,0,0.138860861994866,0,0.338709677419355,0.246773820621661,1
0.221461187214611,0.502878305253867,0.460075820938943,0,0,0,0,1,0,0,0,0,0,0.465078378685335,0,0.387096774193548,0.249301743603996,0
0.10958904109589,0.231687125477662,0.172851740063275,1,1,0,0,0,0,0,0.25,0,0,0.384170934919191,0,0.354838709677419,0.199881657242893,0
0.235159817351598,0.164312852592393,0.127784192152442,0,0,0,1,0,0,0,0.0833333333333333,0,0,0.135494878837279,0.1,0.435483870967742,0.211865425868379,0
0.116438356164384,0.242495847016706,0.196657151169133,0,0,0,0,1,0,0,0,0,0.142857142857143,0.197730383316472,0,0.5,0.231697624172459,0
0.0479452054794521,0.208523621291783,0.194750263645951,1,0,1,0,0,0,0,0.805555555555556,0,0,0.505774806748132,0.1,0.580645161290323,0.228268865330305,0
0.242009132420092,0.157251410369575,0.148755409287611,0,0,1,0,0,0,0,0.0277777777777777,0,0,0.229440288519613,0,0.306451612903226,0.229571596924785,0
0.100456621004566,0.170752032631757,0.161580875668206,0,0,0,1,0,0,0,0.25,0,0,0.325238169766938,0,0.290322580645161,0.121005356219256,0
0.0536529680365297,0.0300741780382568,0.0816097858103931,1,0,1,0,0,0,0,0.583333333333334,0,0,0.48694892541766,0,0.161290322580645,0.258815569316795,0
0.132420091324201,0.077651193263121,0.0864463253209208,0,0,0,0,1,0,0,0.222222222222222,0,0,0.398980757906488,0.1,0.225806451612903,0.153721240068015,0
0.205479452054795,0.213597662267885,0.196327593730681,0,0,0,1,0,0,0,0.305555555555555,0,0,0.44303494739296,0.1,0.225806451612903,0.227153494120055,0
0.0890410958904109,0.0754719049994792,0.0353058293028837,1,0,0,1,0,0,0,0.25,0,0,0.0940277769194861,0,0.0161290322580645,0.237713976350789,0
0.0502283105022831,0.0614970476811824,0.0242099712716826,0,0,0,1,0,0,0,0.0555555555555556,0,0.285714285714286,0.259065722645039,0.3,0.403225806451613,0.278030599154712,1
0.128995433789954,0.0360637942093981,0.100128641041493,0,0,0,0,1,0,0,0.527777777777777,0,0.285714285714286,0.620124617355138,0,0.161290322580645,0.136337265286315,0
0.268264840182649,0.294168279431356,0.337444088875959,0,0,0,0,0,1,0,0.444444444444444,0,0,0.455609217367871,0,0.467741935483871,0.220507221154475,0
0.0970319634703195,0.202364048048509,0.124377250081822,0,0,0,0,1,0,0,0.25,0,0,0.272226263532147,0,0.161290322580645,0.270044806393537,0
0.0559360730593607,0.182542119200215,0.194284337612277,0,0,1,0,0,0,0,0,0,0.142857142857143,0.369254737746869,0.1,0.580645161290323,0.117014026058572,0
0.0513698630136987,0.182539377957116,0.154710171278955,1,0,0,1,0,0,0,0,0,0.142857142857143,0.298587742949087,0,0.467741935483871,0.238215697410215,0
0.141552511415525,0.0688984040482679,0.0247918106112949,0,1,0,0,0,0,0,0.472222222222222,0,0,0.124542307734647,0,0.241935483870968,0.151347561300625,0
